担当	グラフィック（海野さん）	グラフィック（敏さん）	グラフィック（敏さん）	グラフィック（敏さん）	プランナー（松宮さん）	プランナー（松宮さん）
エリア名	エリア別＿配置モデル管理表	エリア別＿地形テクスチャー管理表	地形テクスチャースロット1	地形テクスチャースロット2	エリア別＿動作モデル管理表	ライト設定
AREA_ID_FIELD	area01o.xls	map_tex_set.xls	dummy	dummy	area_01d.xls	ON
AREA_ID_ROOM	room00o.xls	hos1_tex_set.xls	dummy	dummy	area_02d.xls	OFF
AREA_ID_UNDERGROUND	area00o.xls	ug_tex_set.xls	dummy	dummy	area_03d.xls	OFF
AREA_ID_ROOMIN	room00o.xls	roomtexpale.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_DUNGEON	area02o.xls	area04_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_UNIONROOM	room00o.xls	room02_tex_set.xls	dummy	dummy	area_02d.xls	OFF
AREA_ID_AREA01	area01o.xls	texset_area01.xls	area00_tex_set.xls	area01_tex_set.xls	area_01d.xls	ON
AREA_ID_AREA02	area02o.xls	texset_area02.xls	area00_tex_set.xls	area02_tex_set.xls	area_01d.xls	ON
AREA_ID_AREA03	area03o.xls	texset_area03.xls	area00_tex_set.xls	area03_tex_set.xls	area_01d.xls	ON
AREA_ID_AREA04	area04o.xls	texset_area04.xls	area00_tex_set.xls	area04_tex_set.xls	area_01d.xls	ON
AREA_ID_AREA05	area05o.xls	texset_area05.xls	area00_tex_set.xls	area05_tex_set.xls	area_09d.xls	ON
AREA_ID_AREA06	area06o.xls	texset_area06.xls	area00_tex_set.xls	area06_tex_set.xls	area_10d.xls	ON
AREA_ID_AREA07	area07o.xls	texset_area07.xls	area00_tex_set.xls	area07_tex_set.xls	area_11d.xls	ON
AREA_ID_AREA08	area08o.xls	texset_area08.xls	area00_tex_set.xls	area08_tex_set.xls	area_12d.xls	ON
AREA_ID_AREA09	area09o.xls	area09_tex_set.xls	dummy	dummy	area_13d.xls	ON
AREA_ID_AREA10	area10o.xls	texset_area10.xls	area00_tex_set.xls	area10_tex_set.xls	area_01d.xls	ON
AREA_ID_AREA11	area11o.xls	texset_area11.xls	area00_tex_set.xls	area11_tex_set.xls	area_11d.xls	ON
AREA_ID_AREA12	area12o.xls	texset_area12.xls	area00_tex_set.xls	area12_tex_set.xls	area_12d.xls	ON
AREA_ID_AREA13	area13o.xls	texset_area13.xls	area00_tex_set.xls	area13_tex_set.xls	area_13d.xls	ON
AREA_ID_AREA14	area14o.xls	texset_area14.xls	area00_tex_set.xls	area14_tex_set.xls	area14d.xls	ON
AREA_ID_ROOM01	room01o.xls	room01_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM02	room02o.xls	room02_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM03	room03o.xls	room03_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM04	room04o.xls	room04_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM05	room05o.xls	room05_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM06	room06o.xls	room06_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM07	room07o.xls	room07_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM08	room08o.xls	room08_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM09	room09o.xls	room09_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM10	room10o.xls	room10_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM11	room11o.xls	room11_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM12	room12o.xls	room12_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM13	room13o.xls	room13_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM14	room14o.xls	room14_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM15	room15o.xls	room15_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM16	room16o.xls	room16_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM17	room17o.xls	room17_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM18	room18o.xls	room18_tex_set.xls	dummy	dummy	area_04d.xls	OFF
AREA_ID_ROOM19	room19o.xls	room19_tex_set.xls	dummy	dummy	area_04d.xls	OFF
