ID	MAPRESOURCE	MOVE_MODEL	MATRIX	event	script	msg	encount	maptype	bicycle	dash	escape	fly	BGM_DAY	BGM_NIGHT	WEATHER	CAMERA	BATTLE_BG	PLACE_NAME	備考
EVERYWHERE	AREA_ID_FIELD	AREA_ID_FIELD	SINOU	×	×	×	×	MAPTYPE_ROAD	○	○	○	×	SEQ_DUMMY	SEQ_DUMMY	SUNNY	0	BG_ID_FOREST	MAPNAME_NOTHING	範囲外など
NOTHING	AREA_ID_FIELD	AREA_ID_FIELD	SINOU	×	×	×	×	MAPTYPE_NOWHERE	×	×	×	×	SEQ_DUMMY	SEQ_DUMMY	SUNNY	0	BG_ID_FOREST	MAPNAME_NOTHING	範囲外など
UG	AREA_ID_UNDERGROUND	AREA_ID_UNDERGROUND	UNDER_GROUND	○	○	○	×	MAPTYPE_UNDERGROUND	×	×	×	×	SEQ_TANKOU	SEQ_TANKOU	SUNNY	0	BG_ID_FOREST	MAPNAME_NOTHING	炭鉱マップ
C01	AREA_ID_AREA01	MMLID_AREA01	SINOU	○	○	○	×	MAPTYPE_TOWN	○	○	×	○	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	0	BG_ID_CITY	MAPNAME_C1KOTOBUKI	コトブキシティ
C01FS0101	AREA_ID_ROOM03	MMLID_NOENTRY	FS01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_FS	SEQ_FS	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	コトブキ：フレンドリーショップ
C01GYM0101	AREA_ID_ROOM01	AREA_ID_ROOM01	HOUSE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	2/2削除予定　コトブキ：ジム
C01PC0101	AREA_ID_ROOM02	MMLID_NOENTRY	PC01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	コトブキ：ポケモンセンター 1F
C01PC0102	AREA_ID_ROOM02	MMLID_NOENTRY	PC02	○	○	×	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	 コトブキ：ポケモンセンター 2F
C01R0101	AREA_ID_ROOM12	MMLID_NOENTRY	COMP01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1POKETCH	コトブキ：ポケッチカンパニー 1Ｆ
C01R0102	AREA_ID_ROOM12	MMLID_NOENTRY	COMP02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1POKETCH	コトブキ：ポケッチカンパニー 2Ｆ
C01R0103	AREA_ID_ROOM12	MMLID_NOENTRY	COMP03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1POKETCH	コトブキ：ポケッチカンパニー 3Ｆ
C01R0201	AREA_ID_ROOM15	MMLID_NOENTRY	TV01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	コトブキ：ＴＶ局　１Ｆ
C01R0202	AREA_ID_ROOM15	MMLID_NOENTRY	TV02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	コトブキ：ＴＶ局　2Ｆ
C01R0203	AREA_ID_ROOM15	MMLID_NOENTRY	TV03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	コトブキ：ＴＶ局　3Ｆ
C01R0204	AREA_ID_ROOM15	MMLID_NOENTRY	TV04	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	コトブキ：ＴＶ局　4Ｆ
C01R0205	AREA_ID_ROOM15	MMLID_NOENTRY	TV05	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	コトブキ：ＴＶ局　クリップの部屋(への道）
C01R0206	AREA_ID_ROOM15	MMLID_NOENTRY	TV06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	コトブキ：ＴＶ局　ギネスの部屋１
C01R0207	AREA_ID_ROOM15	MMLID_NOENTRY	TV07	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	コトブキ：ＴＶ局　ギネスの部屋２
C01R0208	AREA_ID_ROOM02	MMLID_NOENTRY	EV01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	コトブキ：ＴＶ局　ＥＶ
C01R0301	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1KOTOBUKI	2/3変更　コトブキ：ビル1＿１Ｆ
C01R0302	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1KOTOBUKI	2/3変更　コトブキ：ビル1＿２Ｆ
C01R0303	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1KOTOBUKI	2/3変更　コトブキ：ビル1＿３Ｆ
C01R0304	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	×	×	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	2/3変更　コトブキ：ビル1＿４Ｆ
C01R0401	AREA_ID_ROOM01	AREA_ID_ROOM01	HOUSE03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_DUMMY	SEQ_DUMMY	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	異文化の建物＿１Ｆ
C01R0501	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1KOTOBUKI	2/3変更　コトブキ：ビル2＿1Ｆ
C01R0502	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1KOTOBUKI	2/3追加　コトブキ：ビル2＿2Ｆ
C01R0503	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1KOTOBUKI	2/3追加　コトブキ：ビル2＿3Ｆ
C01R0504	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	2/3追加　コトブキ：ビル2＿4Ｆ
C01R0601	AREA_ID_ROOM21	MMLID_NOENTRY	WIFI01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_BLD_GTC	SEQ_BLD_BLD_GTC	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1GTC	GTC
C01R0701	AREA_ID_ROOM12	MMLID_NOENTRY	SCHO01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1SCHOOL	2/2変更　トレーナースクール＿１Ｆ
C01R0801	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	5/25追加　コトブキビル３＿1Ｆ
C01R0901	AREA_ID_ROOM01	AREA_ID_ROOM01	HOUSE03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_DUMMY	SEQ_DUMMY	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	2/3削除予定　ビル４＿１Ｆ
C01R1001	AREA_ID_ROOM01	AREA_ID_ROOM01	HOUSE03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_DUMMY	SEQ_DUMMY	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	2/3削除予定　ビル５＿１Ｆ
C02	AREA_ID_AREA10	MMLID_AREA10	SINOU	○	○	○	○	MAPTYPE_TOWN	○	○	×	○	SEQ_CITY02_D	SEQ_CITY02_N	SUNNY	0	BG_ID_CITY	MAPNAME_C2MIO	ミオシティ
C02FS0101	AREA_ID_ROOM03	MMLID_NOENTRY	FS01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_FS	SEQ_FS	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C2MIO	フレンドリィショップ
C02GYM0101	AREA_ID_ROOM05	MMLID_NOENTRY	GYM02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	3	BG_ID_ROOM_A	MAPNAME_C2MIO	ミオジム（鋼）
C02PC0101	AREA_ID_ROOM02	MMLID_NOENTRY	PC01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C2MIO	ポケモンセンター＿１Ｆ
C02PC0102	AREA_ID_ROOM02	MMLID_NOENTRY	PC02	○	○	×	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C2MIO	ポケモンセンター＿２Ｆ
C02R0101	AREA_ID_ROOM12	MMLID_NOENTRY	LIBRA01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY02_D	SEQ_CITY02_N	SUNNY	4	BG_ID_ROOM_C	MAPNAME_C7TOSYOKAN	2/22変更　図書館_1F
C02R0102	AREA_ID_ROOM12	MMLID_NOENTRY	LIBRA02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY02_D	SEQ_CITY02_N	SUNNY	4	BG_ID_ROOM_C	MAPNAME_C7TOSYOKAN	2/22追加　図書館_2F
C02R0103	AREA_ID_ROOM12	MMLID_NOENTRY	LIBRA03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY02_D	SEQ_CITY02_N	SUNNY	4	BG_ID_ROOM_C	MAPNAME_C7TOSYOKAN	2/22変更　図書館_3F
C02R0201	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY02_D	SEQ_CITY02_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C2MIO	民家４
C02R0301	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY02_D	SEQ_CITY02_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C2MIO	民家1
C02R0401	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE04	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_D_03	SEQ_D_03	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C2MIO	民家２_(ダークイベント用民家）
C02R0501	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE04	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY02_D	SEQ_CITY02_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C2MIO	民家３_(ムーバスイベント用民家）
C03	AREA_ID_AREA02	MMLID_AREA02	SINOU	○	○	○	×	MAPTYPE_TOWN	○	○	×	○	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	0	BG_ID_CITY	MAPNAME_C3KUROGANE	クロガネシティ
C03FS0101	AREA_ID_ROOM03	MMLID_NOENTRY	FS01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_FS	SEQ_FS	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	クロガネ：フレンドリィショップ
C03GYM0101	AREA_ID_ROOM06	MMLID_NOENTRY	GYM03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	9	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	クロガネポケモンジム（岩）
C03PC0101	AREA_ID_ROOM02	MMLID_NOENTRY	PC01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	クロガネ：ポケモンセンター＿１Ｆ
C03PC0102	AREA_ID_ROOM02	MMLID_NOENTRY	PC02	○	○	×	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	クロガネ：ポケモンセンター＿２Ｆ
C03R0101	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C3KUROGANE	クロガネ：ビル1＿１Ｆ
C03R0102	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C3KUROGANE	クロガネ：ビル1＿２Ｆ
C03R0103	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL05	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	2/2変更　クロガネ：ビル1＿３Ｆ
C03R0104	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	2/2変更　クロガネ：ビル1＿４Ｆ
C03R0201	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C3KUROGANE	2/2変更　クロガネ：ビル2 １Ｆ
C03R0202	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C3KUROGANE	2/2変更　クロガネ：ビル2 ２Ｆ
C03R0203	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL05	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	2/2変更　クロガネ：ビル2 ３Ｆ
C03R0204	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	2/2変更　クロガネ：ビル2 ４Ｆ
C03R0301	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	クロガネ：民家1
C03R0401	AREA_ID_ROOM12	MMLID_NOENTRY	MUSE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C3HAKUBUTUKAN	2/22変更クロガネ：炭坑博物館　１Ｆ
